model,best_val_nse,n_trials,alpha,log_shift,target_transform,use_weighted_loss,loss_lambda,hidden_size,n_layers,lr,dropout,weight_decay,loss_fn,underpredict_penalty,batch_size,window_size
log_ridge,0.6098,2000,9.529413148189959e-05,0.11592174754810655,log,True,1.4780862149481373,,,,,,,,,
res_ann,0.8385,1311,,,,False,6.186040528068269,896.0,2.0,0.00017079893789322353,0.1020947818621333,2.2732070380544178e-05,huber,5.2008540982284215,16384.0,
attn_lstm,0.7742,1000,,,,False,4.549848395869118,160.0,3.0,0.00038592671414663016,0.01771726673603225,1.1381635630791894e-05,huber,7.912308745427689,2048.0,30.0
